inter,text
40140,RT @harryelsocio: El supremacismo catalán más canalla y apestoso en contra del racismo. Me pinchan y no sangro.
39648,"RT @Gary_At_Noon: Que a todos los tarados de este vídeo les parezca divertido y normal hacer lo que hacen, demuestra que este mundo se ha i…"
39648,"RT @Gary_At_Noon: ""Si no os ponéis de rodillas, 
os seguiremos dando la brasa""

Y la policía inglesa se arrodilla.
Apaga y vámonos."
2842,"RT @HommaMedia: 🇸🇪 #Göteborg­in #blacklivesmatter-mellakointi osoittaa hyvin miten surkeaan jamaan länsinaapurimme on haittamaahanmuuton vu… RT @HommaMedia: #Blacklivesmatter-typeryys tiivistyy Ruotsissa.

Aiemmin afroaktivisti vaati #CarlvonLinné­n patsaiden siirtämistä. Demarip…"
2842,RT @HommaMedia: 🇳🇴 Myös #Norja­ssa vaaditaan taiteen sensurointia #blacklivesmatter-nimellä kulkevan eurooppalaisvastaisen kulttuurivallank… RT @HommaMedia: Eivät nämä #blacklivesmatter-idiootit välitä siitä kuvaavatko heidän töhrimänsä ja tuhoamansa patsaat orjuuden vastustajia…
2842,"RT @HommaMedia: 🇬🇧 Briteissä poliisi myöntää, että #blacklivesmatter-afromellakat ovat laittomia #korona­rajoitusten vuoksi, mutta näihin e… RT @HommaMedia: 🇫🇮 Mari Rantanen (ps) teki hallitukselle kirjallisen kysymyksen #poliisi­n osallistumisesta mielenosoituksiin virkatehtävis… RT @HommaMedia: 🇬🇧 Brittipoliitikko Nigel #Farage pitää #blacklivesmatter-liikettä vaarallisena marxilaisorganisaationa, jota rahoittaa #So… RT @HommaMedia: Jos joku mediapimennossa muutaman viikon ollut kysyisi, että mikäs tuo #blacklivesmatter-juttu on, niin tämän videon voisi…"
2842,"RT @HommaMedia: Jos joku mediapimennossa muutaman viikon ollut kysyisi, että mikäs tuo #blacklivesmatter-juttu on, niin tämän videon voisi…"
2842,"RT @HommaMedia: 🇫🇮 Mari Rantanen (ps) teki hallitukselle kirjallisen kysymyksen #poliisi­n osallistumisesta mielenosoituksiin virkatehtävis… RT @HommaMedia: Nyt #blacklivesmatter-perseily alkaa ulottua jo median sisältöön 🤦🏻‍♀️

30 vuotta esitetty Cops (jossa näkyy usein mustien…"
2842,"RT @HommaMedia: 🇸🇪 #Göteborg­in #blacklivesmatter-mellakointi osoittaa hyvin miten surkeaan jamaan länsinaapurimme on haittamaahanmuuton vu… RT @HommaMedia: 🇫🇮 Mari Rantanen (ps) teki hallitukselle kirjallisen kysymyksen #poliisi­n osallistumisesta mielenosoituksiin virkatehtävis… RT @HommaMedia: Jos joku mediapimennossa muutaman viikon ollut kysyisi, että mikäs tuo #blacklivesmatter-juttu on, niin tämän videon voisi…"
2842,"RT @HommaMedia: 🇫🇮 #Antifa- ja #BlackLivesMatter-fanaatikot pitivät eilen Helsingissä torikokoontumisen #korona­sta välittämättä. Jotkut po… RT @HommaMedia: 🇸🇪 #Göteborg­in #blacklivesmatter-mellakointi osoittaa hyvin miten surkeaan jamaan länsinaapurimme on haittamaahanmuuton vu… RT @HommaMedia: Nyt #blacklivesmatter-perseily alkaa ulottua jo median sisältöön 🤦🏻‍♀️

30 vuotta esitetty Cops (jossa näkyy usein mustien…"
