inter,text
11407,"RT @denisewu: Advertiser should just leave FOX news altogether, leaving Tucker while still with other programs isn’t enough. That’s half wa…"
11407,"RT @denisewu: @realDonaldTrump @MayorBowser I love what @MayorBowser had done with the street. #BlackLivesMatterDC 
https://t.co/ymQkAz914A"
11407,RT @denisewu: Zuckerberg needs to step up instead of statement defending profit of hate. It’s not acceptable anymore when standing with #Bl…
11407,RT @denisewu: #FoxNewsisRacist why are any advertising companies still working with FOX? Especially they claim #BlackLivesMatter and still…
11407,"RT @denisewu: #FoxNewsisRacist why are any advertising companies still working with FOX? Especially they claim #BlackLivesMatter and still… RT @denisewu: Reasons Senate Republicans are not taking police reform:

1. Kentucky Republican is still blocking Anti-Lynching Bill. 
2. Us…"
24594,"RT @troubleshade: When Meghan was being vilified worldwide by the BM, only her fans, friends &amp; a very few *brave* individuals stood up w he…"
24594,"RT @troubleshade: Let's keep in mind how the Queen's Commonwealth trust and the National theater, who are both under the Sussexes umbrella,…"
24594,"RT @troubleshade: The British Media is really trying to use #BlackLivesMatter  to blame -AGAIN- the only non-white royal of the BRF, who ha…"
24594,"RT @troubleshade: Before praising Piers Morgan for his hypocritical #BlackLivesMatter campaign, remember he told Meghan Markle, the only no…"
24594,"RT @troubleshade: So since D.Arbiter says #BlackLivesMatter is too ""political"" for the BRF, that does confirm that EII didn't have anything… RT @troubleshade: When Meghan was being vilified worldwide by the BM, only her fans, friends &amp; a very few *brave* individuals stood up w he… RT @troubleshade: While I'm glad Jessica is being hold accountable, I hope this same energy prevail and many media personalities are held a…"
24594,"RT @troubleshade: Since a lot of public figures has been exposed while #Blacklivesmatter is on rise around the world, for their blatant rac…"
24594,"RT @troubleshade: While I'm glad Jessica is being hold accountable, I hope this same energy prevail and many media personalities are held a…"
24594,"RT @troubleshade: Before praising Piers Morgan for his hypocritical #BlackLivesMatter campaign, remember he told Meghan Markle, the only no… RT @troubleshade: No clout chaser that has been racist before will use #BlackLivesMatter without being dragged. This is NOT a game #BeQuiet RT @troubleshade: So since D.Arbiter says #BlackLivesMatter is too ""political"" for the BRF, that does confirm that EII didn't have anything…"
24594,"RT @troubleshade: Meghan Markle keeps being used as the bait of the BRF, even after stepping down as a working royal. Now folks claiming he… RT @troubleshade: When Meghan was being vilified worldwide by the BM, only her fans, friends &amp; a very few *brave* individuals stood up w he…"
24594,"RT @troubleshade: So since D.Arbiter says #BlackLivesMatter is too ""political"" for the BRF, that does confirm that EII didn't have anything… RT @troubleshade: While I'm glad Jessica is being hold accountable, I hope this same energy prevail and many media personalities are held a…"
24594,"RT @troubleshade: When Meghan was being vilified worldwide by the BM, only her fans, friends &amp; a very few *brave* individuals stood up w he… RT @troubleshade: Since a lot of public figures has been exposed while #Blacklivesmatter is on rise around the world, for their blatant rac…"
24594,"RT @troubleshade: Since a lot of public figures has been exposed while #Blacklivesmatter is on rise around the world, for their blatant rac… RT @troubleshade: While I'm glad Jessica is being hold accountable, I hope this same energy prevail and many media personalities are held a…"
24594,"RT @troubleshade: Since a lot of public figures has been exposed while #Blacklivesmatter is on rise around the world, for their blatant rac… RT @troubleshade: When Meghan was being vilified worldwide by the BM, only her fans, friends &amp; a very few *brave* individuals stood up w he… RT @troubleshade: While I'm glad Jessica is being hold accountable, I hope this same energy prevail and many media personalities are held a…"
